cluster,crime_count
0,49877
3,2008
8,518
25,275
1,219
16,213
37,194
28,170
13,136
51,128
10,108
38,108
81,107
105,82
9,80
35,80
99,80
36,76
102,71
53,70
50,69
46,67
65,63
72,62
20,61
61,60
27,59
17,59
56,57
29,56
55,54
41,53
107,51
39,51
110,49
15,48
104,45
47,45
87,41
122,41
151,39
12,38
33,38
80,38
4,37
54,36
14,35
23,35
7,34
132,34
45,33
58,33
123,32
30,32
86,31
64,31
112,31
94,31
34,30
79,30
22,29
162,29
91,29
97,29
121,28
44,28
2,28
160,28
84,27
21,27
74,27
68,27
89,25
129,25
142,25
32,25
78,24
75,24
69,24
60,24
73,24
178,24
155,24
149,23
31,23
42,23
76,23
11,22
108,22
111,21
114,21
113,21
59,21
48,21
83,21
62,21
163,20
171,20
24,20
172,20
135,20
96,20
179,20
145,20
70,20
57,20
100,19
139,19
140,19
133,19
126,19
159,19
6,19
40,19
118,18
119,18
71,18
18,18
173,17
43,17
167,16
182,16
200,16
106,16
125,16
127,16
93,16
101,16
148,15
82,15
19,15
158,15
146,15
183,15
131,15
166,14
120,14
117,14
103,14
136,14
115,14
130,14
116,14
175,13
5,13
169,13
197,13
95,13
92,13
88,13
77,13
52,13
134,13
124,13
90,13
138,13
143,13
63,12
49,12
85,12
209,12
202,12
157,12
180,12
187,12
191,12
98,12
67,11
214,11
207,11
186,11
199,11
141,11
144,11
109,11
156,11
164,10
26,10
150,10
128,10
215,10
213,10
161,10
153,10
188,10
168,10
212,10
203,10
201,10
170,10
181,10
174,10
190,10
185,10
194,9
165,9
211,9
208,9
210,8
137,8
196,8
206,8
189,8
154,8
205,8
147,7
176,7
204,6
152,6
193,5
177,5
184,5
198,4
192,4
66,2
195,1
