cluster,primary_type,count
0,THEFT,11498
0,BATTERY,9274
0,CRIMINAL DAMAGE,5541
0,ASSAULT,4500
0,MOTOR VEHICLE THEFT,3968
0,OTHER OFFENSE,3341
0,DECEPTIVE PRACTICE,2500
0,BURGLARY,2229
0,NARCOTICS,1717
0,CRIMINAL TRESPASS,1314
0,ROBBERY,1182
0,WEAPONS VIOLATION,975
0,CRIMINAL SEXUAL ASSAULT,384
0,OFFENSE INVOLVING CHILDREN,303
0,SEX OFFENSE,246
0,INTERFERENCE WITH PUBLIC OFFICER,227
0,PUBLIC PEACE VIOLATION,207
0,STALKING,119
0,HOMICIDE,80
0,ARSON,77
0,INTIMIDATION,54
0,LIQUOR LAW VIOLATION,40
0,CONCEALED CARRY LICENSE VIOLATION,31
0,KIDNAPPING,24
0,PROSTITUTION,23
0,PUBLIC INDECENCY,8
0,HUMAN TRAFFICKING,7
0,OBSCENITY,6
0,GAMBLING,1
0,OTHER NARCOTIC VIOLATION,1
1,THEFT,105
1,OTHER OFFENSE,22
1,BATTERY,20
1,CRIMINAL DAMAGE,14
1,DECEPTIVE PRACTICE,11
1,ASSAULT,10
1,BURGLARY,9
1,MOTOR VEHICLE THEFT,9
1,NARCOTICS,6
1,WEAPONS VIOLATION,4
1,CRIMINAL TRESPASS,3
1,ROBBERY,2
1,INTIMIDATION,1
1,OFFENSE INVOLVING CHILDREN,1
1,PUBLIC PEACE VIOLATION,1
1,SEX OFFENSE,1
2,BATTERY,10
2,CRIMINAL DAMAGE,4
2,THEFT,4
2,MOTOR VEHICLE THEFT,3
2,CRIMINAL TRESPASS,2
2,ASSAULT,1
2,BURGLARY,1
2,DECEPTIVE PRACTICE,1
2,OBSCENITY,1
2,SEX OFFENSE,1
3,BATTERY,428
3,THEFT,300
3,CRIMINAL DAMAGE,260
3,OTHER OFFENSE,213
3,ASSAULT,175
3,MOTOR VEHICLE THEFT,167
3,BURGLARY,83
3,DECEPTIVE PRACTICE,83
3,NARCOTICS,59
3,ROBBERY,55
3,WEAPONS VIOLATION,49
3,CRIMINAL TRESPASS,43
3,SEX OFFENSE,21
3,OFFENSE INVOLVING CHILDREN,20
3,INTERFERENCE WITH PUBLIC OFFICER,19
3,CRIMINAL SEXUAL ASSAULT,10
3,HOMICIDE,8
3,ARSON,5
3,PUBLIC PEACE VIOLATION,4
3,CONCEALED CARRY LICENSE VIOLATION,2
3,KIDNAPPING,2
3,OBSCENITY,1
3,STALKING,1
4,BATTERY,12
4,ROBBERY,7
4,THEFT,5
4,ASSAULT,2
4,CRIMINAL DAMAGE,2
4,MOTOR VEHICLE THEFT,2
4,WEAPONS VIOLATION,2
4,BURGLARY,1
4,INTERFERENCE WITH PUBLIC OFFICER,1
4,OFFENSE INVOLVING CHILDREN,1
4,OTHER OFFENSE,1
4,SEX OFFENSE,1
5,BATTERY,4
5,THEFT,3
5,DECEPTIVE PRACTICE,2
5,MOTOR VEHICLE THEFT,2
5,CRIMINAL DAMAGE,1
5,OTHER OFFENSE,1
6,DECEPTIVE PRACTICE,9
6,MOTOR VEHICLE THEFT,5
6,THEFT,2
6,ASSAULT,1
6,CRIMINAL DAMAGE,1
6,PUBLIC PEACE VIOLATION,1
7,THEFT,21
7,BATTERY,3
7,CRIMINAL DAMAGE,2
7,OTHER OFFENSE,2
7,SEX OFFENSE,2
7,BURGLARY,1
7,CRIMINAL TRESPASS,1
7,NARCOTICS,1
7,ROBBERY,1
8,THEFT,133
8,BATTERY,86
8,CRIMINAL DAMAGE,53
8,BURGLARY,50
8,MOTOR VEHICLE THEFT,44
8,OTHER OFFENSE,42
8,DECEPTIVE PRACTICE,29
8,ASSAULT,28
8,CRIMINAL TRESPASS,14
8,ROBBERY,11
8,WEAPONS VIOLATION,7
8,NARCOTICS,6
8,OFFENSE INVOLVING CHILDREN,3
8,SEX OFFENSE,3
8,INTERFERENCE WITH PUBLIC OFFICER,2
8,INTIMIDATION,2
8,CONCEALED CARRY LICENSE VIOLATION,1
8,CRIMINAL SEXUAL ASSAULT,1
8,LIQUOR LAW VIOLATION,1
8,PUBLIC PEACE VIOLATION,1
8,STALKING,1
9,THEFT,60
9,ASSAULT,5
9,CRIMINAL DAMAGE,4
9,DECEPTIVE PRACTICE,4
9,BATTERY,3
9,BURGLARY,1
9,MOTOR VEHICLE THEFT,1
9,NARCOTICS,1
9,PUBLIC PEACE VIOLATION,1
10,THEFT,46
10,BATTERY,12
10,OTHER OFFENSE,12
10,CRIMINAL DAMAGE,10
10,DECEPTIVE PRACTICE,7
10,BURGLARY,5
10,MOTOR VEHICLE THEFT,4
10,ASSAULT,3
10,CRIMINAL TRESPASS,3
10,ARSON,1
10,CRIMINAL SEXUAL ASSAULT,1
10,OBSCENITY,1
10,ROBBERY,1
10,SEX OFFENSE,1
10,WEAPONS VIOLATION,1
11,THEFT,5
11,BATTERY,4
11,BURGLARY,3
11,LIQUOR LAW VIOLATION,3
11,ASSAULT,2
11,DECEPTIVE PRACTICE,2
11,MOTOR VEHICLE THEFT,1
11,OTHER OFFENSE,1
11,SEX OFFENSE,1
12,BATTERY,13
12,THEFT,8
12,ASSAULT,5
12,OTHER OFFENSE,4
12,DECEPTIVE PRACTICE,3
12,BURGLARY,1
12,CRIMINAL DAMAGE,1
12,MOTOR VEHICLE THEFT,1
12,OFFENSE INVOLVING CHILDREN,1
12,ROBBERY,1
13,THEFT,82
13,CRIMINAL DAMAGE,14
13,BATTERY,7
13,DECEPTIVE PRACTICE,7
13,MOTOR VEHICLE THEFT,7
13,ASSAULT,6
13,BURGLARY,3
13,CRIMINAL TRESPASS,2
13,NARCOTICS,2
13,PUBLIC PEACE VIOLATION,2
13,ROBBERY,2
13,OTHER OFFENSE,1
13,PROSTITUTION,1
14,BATTERY,6
14,OTHER OFFENSE,6
14,THEFT,6
14,CRIMINAL DAMAGE,5
14,MOTOR VEHICLE THEFT,5
14,ASSAULT,2
14,BURGLARY,1
14,CRIMINAL SEXUAL ASSAULT,1
14,DECEPTIVE PRACTICE,1
14,INTIMIDATION,1
14,ROBBERY,1
15,THEFT,10
15,OTHER OFFENSE,9
15,BATTERY,6
15,ASSAULT,3
15,CRIMINAL DAMAGE,3
15,WEAPONS VIOLATION,3
15,BURGLARY,2
15,DECEPTIVE PRACTICE,2
15,INTERFERENCE WITH PUBLIC OFFICER,2
15,MOTOR VEHICLE THEFT,2
15,CRIMINAL TRESPASS,1
15,NARCOTICS,1
15,OFFENSE INVOLVING CHILDREN,1
15,PROSTITUTION,1
15,ROBBERY,1
15,SEX OFFENSE,1
16,THEFT,99
16,BURGLARY,21
16,BATTERY,19
16,ASSAULT,17
16,CRIMINAL DAMAGE,16
16,MOTOR VEHICLE THEFT,15
16,DECEPTIVE PRACTICE,12
16,OTHER OFFENSE,5
16,ROBBERY,4
16,CRIMINAL TRESPASS,2
16,CRIMINAL SEXUAL ASSAULT,1
16,INTIMIDATION,1
16,NARCOTICS,1
17,BATTERY,15
17,ASSAULT,9
17,THEFT,9
17,CRIMINAL DAMAGE,8
17,MOTOR VEHICLE THEFT,7
17,ROBBERY,5
17,BURGLARY,2
17,OTHER OFFENSE,2
17,CRIMINAL TRESPASS,1
17,WEAPONS VIOLATION,1
18,BATTERY,4
18,CRIMINAL DAMAGE,4
18,MOTOR VEHICLE THEFT,3
18,THEFT,3
18,DECEPTIVE PRACTICE,2
18,ASSAULT,1
18,OTHER OFFENSE,1
19,BATTERY,4
19,ASSAULT,3
19,THEFT,2
19,CRIMINAL DAMAGE,1
19,INTERFERENCE WITH PUBLIC OFFICER,1
19,NARCOTICS,1
19,OTHER OFFENSE,1
19,ROBBERY,1
19,WEAPONS VIOLATION,1
20,THEFT,20
20,CRIMINAL DAMAGE,6
20,MOTOR VEHICLE THEFT,6
20,ASSAULT,5
20,BATTERY,5
20,DECEPTIVE PRACTICE,4
20,BURGLARY,3
20,CRIMINAL TRESPASS,3
20,OTHER OFFENSE,3
20,WEAPONS VIOLATION,2
20,NARCOTICS,1
20,OFFENSE INVOLVING CHILDREN,1
20,PUBLIC PEACE VIOLATION,1
20,STALKING,1
21,DECEPTIVE PRACTICE,11
21,THEFT,5
21,BATTERY,4
21,CRIMINAL TRESPASS,3
21,MOTOR VEHICLE THEFT,2
21,ASSAULT,1
21,CRIMINAL DAMAGE,1
22,THEFT,8
22,MOTOR VEHICLE THEFT,5
22,BATTERY,4
22,CRIMINAL DAMAGE,3
22,DECEPTIVE PRACTICE,3
22,OTHER OFFENSE,2
22,ASSAULT,1
22,BURGLARY,1
22,CRIMINAL TRESPASS,1
