latitude,longitude,primary_type,district,location_description,cluster
41.791120495,-87.728006096,DECEPTIVE PRACTICE,8,RESIDENCE,-1
41.96928083,-87.802514207,THEFT,16,STREET,-1
41.906144038,-87.735428779,BATTERY,25,APARTMENT,0
41.881865472,-87.707063458,DECEPTIVE PRACTICE,11,APARTMENT,0
41.694778129,-87.647324077,THEFT,22,STREET,-1
41.917243399,-87.688085703,DECEPTIVE PRACTICE,14,RESIDENCE,0
41.746801202,-87.596633124,CRIMINAL SEXUAL ASSAULT,4,APARTMENT,0
41.893346855,-87.623478469,BATTERY,18,HOTEL / MOTEL,0
41.901360182,-87.72382166,BATTERY,11,ALLEY,0
41.799141876,-87.622579012,BATTERY,2,APARTMENT,0
41.953374319,-87.751336064,DECEPTIVE PRACTICE,16,APARTMENT,1
41.937058463,-87.639448474,THEFT,19,STREET,0
41.92114183,-87.75974592,WEAPONS VIOLATION,25,RESIDENCE - YARD (FRONT / BACK),0
41.903077492,-87.683673325,BATTERY,12,HOSPITAL BUILDING / GROUNDS,0
41.779688719,-87.609565673,THEFT,3,STREET,0
41.878185359,-87.641080837,BATTERY,1,STREET,0
41.912718998,-87.694615816,BATTERY,14,RESIDENCE,0
41.955815562,-87.780541564,OTHER OFFENSE,16,RESIDENCE,-1
41.838623504,-87.702421038,BATTERY,10,APARTMENT,-1
41.93997806,-87.649469376,BATTERY,19,STREET,0
41.843440944,-87.714759952,CRIMINAL DAMAGE,10,APARTMENT,0
41.78335998,-87.646571322,MOTOR VEHICLE THEFT,7,STREET,0
41.801927878,-87.591842926,CRIMINAL DAMAGE,2,STREET,0
41.75161972,-87.648918043,BATTERY,6,APARTMENT,0
41.906966158,-87.73626237,MOTOR VEHICLE THEFT,25,STREET,0
41.748405907,-87.721873587,MOTOR VEHICLE THEFT,8,VEHICLE NON-COMMERCIAL,2
41.793960961,-87.58840695,CRIMINAL DAMAGE,2,STREET,0
41.803391597,-87.621061298,WEAPONS VIOLATION,2,STREET,0
41.680518584,-87.646867869,BATTERY,5,RESIDENCE,3
41.796517581,-87.691436156,CRIMINAL DAMAGE,9,RESIDENCE,0
41.880667683,-87.63318469,BURGLARY,1,PARKING LOT / GARAGE (NON RESIDENTIAL),0
41.748132542,-87.659739879,BATTERY,6,VEHICLE NON-COMMERCIAL,0
41.695475005,-87.611015916,DECEPTIVE PRACTICE,5,RESIDENCE,3
41.935432921,-87.668504341,ASSAULT,19,GROCERY FOOD STORE,0
