id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,hour,day_of_week,month,is_weekend
14122826,JK164186,2026-02-24 00:00:00,056XX S KEELER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,813,8,13,62.0,11,1149323.0,1867056.0,2026,2026-03-03 15:45:04,41.791120495,-87.728006096,"(41.791120495, -87.728006096)",0,Tuesday,2,0
14121197,JK161249,2026-02-24 00:00:00,048XX N NORDICA AVE,810,THEFT,OVER $500,STREET,False,False,1613,16,41,10.0,6,1128603.0,1931843.0,2026,2026-03-03 15:45:04,41.96928083,-87.802514207,"(41.96928083, -87.802514207)",0,Tuesday,2,0
14119815,JK160176,2026-02-24 00:00:00,043XX W HIRSCH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2534,25,36,23.0,08B,1147007.0,1908956.0,2026,2026-03-03 15:45:04,41.906144038,-87.735428779,"(41.906144038, -87.735428779)",0,Tuesday,2,0
14122502,JK163778,2026-02-24 00:00:00,032XX W WARREN BLVD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,1123,11,28,27.0,11,1154793.0,1900164.0,2026,2026-03-03 15:45:04,41.881865472,-87.707063458,"(41.881865472, -87.707063458)",0,Tuesday,2,0
14122369,JK162722,2026-02-24 00:00:00,109XX S MORGAN ST,810,THEFT,OVER $500,STREET,False,False,2234,22,21,75.0,6,1171605.0,1832115.0,2026,2026-03-03 15:45:04,41.694778129,-87.647324077,"(41.694778129, -87.647324077)",0,Tuesday,2,0
14122081,JK163255,2026-02-24 00:00:00,019XX N MILWAUKEE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1434,14,1,22.0,11,1159864.0,1913094.0,2026,2026-03-03 15:45:04,41.917243399,-87.688085703,"(41.917243399, -87.688085703)",0,Tuesday,2,0
14123130,JK164341,2026-02-24 00:00:00,011XX E 81ST PL,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,411,4,8,45.0,2,1185287.0,1851186.0,2026,2026-03-03 15:45:04,41.746801202,-87.596633124,"(41.746801202, -87.596633124)",0,Tuesday,2,0
14119621,JK160063,2026-02-23 23:55:00,001XX E ONTARIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,True,1834,18,42,8.0,08B,1177520.0,1904525.0,2026,2026-03-03 15:45:04,41.893346855,-87.623478469,"(41.893346855, -87.623478469)",23,Monday,2,0
14119586,JK160077,2026-02-23 23:50:00,011XX N SPRINGFIELD AVE,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,ALLEY,False,False,1112,11,37,23.0,04B,1150179.0,1907235.0,2026,2026-03-03 15:45:04,41.901360182,-87.72382166,"(41.901360182, -87.72382166)",23,Monday,2,0
14119648,JK160062,2026-02-23 23:45:00,052XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,225,2,3,40.0,08B,1178049.0,1870199.0,2026,2026-03-03 15:45:04,41.799141876,-87.622579012,"(41.799141876, -87.622579012)",23,Monday,2,0
