feature,importance
num__hour,0.3592358733381304
cat__primary_type_NARCOTICS,0.0942780029797819
cat__primary_type_WEAPONS VIOLATION,0.04288509598141528
cat__primary_type_CRIMINAL DAMAGE,0.03090762367792659
cat__primary_type_MOTOR VEHICLE THEFT,0.027161366986466814
cat__primary_type_DECEPTIVE PRACTICE,0.01910513265730718
cat__primary_type_THEFT,0.017318780302866713
cat__day_of_week_Saturday,0.01619154060522191
cat__day_of_week_Thursday,0.016160216465525096
cat__day_of_week_Sunday,0.015637247860783913
cat__day_of_week_Monday,0.015624424014453126
cat__primary_type_BURGLARY,0.01551531946316806
cat__primary_type_INTERFERENCE WITH PUBLIC OFFICER,0.015383385254650217
cat__day_of_week_Wednesday,0.01531094960438502
cat__day_of_week_Friday,0.015081835644261672
cat__day_of_week_Tuesday,0.01503293983074014
cat__primary_type_BATTERY,0.013536334062804235
cat__primary_type_CRIMINAL TRESPASS,0.01269805986501744
cat__district_11,0.00959056792180147
cat__primary_type_OTHER OFFENSE,0.009506568005201829
cat__district_8,0.009418172965668038
cat__domestic_No,0.00903542630951783
cat__domestic_Yes,0.008994408170166848
cat__district_18,0.00899292816423334
cat__district_6,0.008969731363326768
cat__district_7,0.00894247363136061
cat__primary_type_ASSAULT,0.00886657325403125
cat__district_25,0.008697536885250741
cat__district_9,0.008618695826553509
cat__district_3,0.008499688958170635
cat__district_1,0.008421667200146423
cat__district_4,0.008210574642037942
cat__district_16,0.008039831793878634
cat__district_2,0.007937427613576796
cat__district_10,0.007590427373814392
cat__district_5,0.007563260626127627
cat__district_12,0.007499587782772123
cat__district_24,0.007370873133819749
cat__district_17,0.007306147417628031
cat__district_19,0.007135244342744124
cat__district_14,0.007023745611742097
cat__district_22,0.006813092312680231
cat__district_15,0.006669141051666293
cat__district_20,0.005975770136093445
cat__primary_type_ROBBERY,0.005269159630832413
cat__primary_type_PUBLIC PEACE VIOLATION,0.004677471816675998
cat__primary_type_CONCEALED CARRY LICENSE VIOLATION,0.003615056319220173
cat__primary_type_CRIMINAL SEXUAL ASSAULT,0.0035032613767944755
cat__primary_type_LIQUOR LAW VIOLATION,0.003134720950879934
cat__primary_type_SEX OFFENSE,0.0022551600363573247
cat__primary_type_PROSTITUTION,0.0021201290006240252
cat__primary_type_OFFENSE INVOLVING CHILDREN,0.0019423453257626552
cat__primary_type_HOMICIDE,0.0011559511406594833
cat__primary_type_STALKING,0.001070010774306187
cat__primary_type_ARSON,0.0008579090432310671
cat__primary_type_INTIMIDATION,0.0005274642412366462
cat__primary_type_OBSCENITY,0.0004255201072299505
cat__primary_type_PUBLIC INDECENCY,0.00037892578398207534
cat__primary_type_KIDNAPPING,0.00018321125589735774
cat__primary_type_GAMBLING,8.457351526429921e-05
cat__primary_type_HUMAN TRAFFICKING,3.0909095692138165e-05
cat__primary_type_OTHER NARCOTIC VIOLATION,1.4529496437168915e-05
